"Statistic Label","Year","Item","UNIT","VALUE"
"Consumption of Personal Income at Current Market Prices","2009","CP031 - Clothing","Euro Million","3066"
"Consumption of Personal Income at Current Market Prices","2009","CP06 - Health","Euro Million","3429"
"Consumption of Personal Income at Current Market Prices","2009","CP07 - Transport","Euro Million","8389"
"Consumption of Personal Income at Current Market Prices","2009","CP073 - Transport services","Euro Million","2084"
"Consumption of Personal Income at Current Market Prices","2009","CP10 - Education","Euro Million","1399"
"Consumption of Personal Income at Current Market Prices","2010","CP011 - Food","Euro Million","6747"
"Consumption of Personal Income at Current Market Prices","2010","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4719"
"Consumption of Personal Income at Current Market Prices","2010","CP031 - Clothing","Euro Million","2583"
"Consumption of Personal Income at Current Market Prices","2010","CP06 - Health","Euro Million","3447"
"Consumption of Personal Income at Current Market Prices","2010","CP07 - Transport","Euro Million","9113"
"Consumption of Personal Income at Current Market Prices","2010","CP073 - Transport services","Euro Million","2032"
"Consumption of Personal Income at Current Market Prices","2010","CP10 - Education","Euro Million","1306"
"Consumption of Personal Income at Current Market Prices","2011","CP011 - Food","Euro Million","6959"
"Consumption of Personal Income at Current Market Prices","2011","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4777"
"Consumption of Personal Income at Current Market Prices","2011","CP031 - Clothing","Euro Million","2471"
"Consumption of Personal Income at Current Market Prices","2011","CP06 - Health","Euro Million","3586"
"Consumption of Personal Income at Current Market Prices","2011","CP07 - Transport","Euro Million","9571"
"Consumption of Personal Income at Current Market Prices","2011","CP073 - Transport services","Euro Million","2213"
"Consumption of Personal Income at Current Market Prices","2011","CP10 - Education","Euro Million","1317"
"Consumption of Personal Income at Current Market Prices","2012","CP011 - Food","Euro Million","7254"
"Consumption of Personal Income at Current Market Prices","2012","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4672"
"Consumption of Personal Income at Current Market Prices","2012","CP031 - Clothing","Euro Million","2499"
"Consumption of Personal Income at Current Market Prices","2012","CP06 - Health","Euro Million","4259"
"Consumption of Personal Income at Current Market Prices","2012","CP07 - Transport","Euro Million","9724"
"Consumption of Personal Income at Current Market Prices","2012","CP073 - Transport services","Euro Million","2313"
"Consumption of Personal Income at Current Market Prices","2012","CP10 - Education","Euro Million","1337"
"Consumption of Personal Income at Current Market Prices","2013","CP011 - Food","Euro Million","7313"
"Consumption of Personal Income at Current Market Prices","2013","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4342"
"Consumption of Personal Income at Current Market Prices","2013","CP031 - Clothing","Euro Million","2495"
"Consumption of Personal Income at Current Market Prices","2013","CP06 - Health","Euro Million","4052"
"Consumption of Personal Income at Current Market Prices","2013","CP07 - Transport","Euro Million","9663"
"Consumption of Personal Income at Current Market Prices","2013","CP073 - Transport services","Euro Million","2412"
"Consumption of Personal Income at Current Market Prices","2013","CP10 - Education","Euro Million","1404"
"Consumption of Personal Income at Current Market Prices","2014","CP011 - Food","Euro Million","7048"
"Consumption of Personal Income at Current Market Prices","2014","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4459"
"Consumption of Personal Income at Current Market Prices","2014","CP031 - Clothing","Euro Million","2599"
"Consumption of Personal Income at Current Market Prices","2014","CP06 - Health","Euro Million","4023"
"Consumption of Personal Income at Current Market Prices","2014","CP07 - Transport","Euro Million","10439"
"Consumption of Personal Income at Current Market Prices","2014","CP073 - Transport services","Euro Million","2535"
"Consumption of Personal Income at Current Market Prices","2014","CP10 - Education","Euro Million","1427"
"Consumption of Personal Income at Current Market Prices","2015","CP011 - Food","Euro Million","7147"
"Consumption of Personal Income at Current Market Prices","2015","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4499"
"Consumption of Personal Income at Current Market Prices","2015","CP031 - Clothing","Euro Million","2777"
"Consumption of Personal Income at Current Market Prices","2015","CP06 - Health","Euro Million","4332"
"Consumption of Personal Income at Current Market Prices","2015","CP07 - Transport","Euro Million","11127"
"Consumption of Personal Income at Current Market Prices","2015","CP073 - Transport services","Euro Million","2716"
"Consumption of Personal Income at Current Market Prices","2015","CP10 - Education","Euro Million","1457"
"Consumption of Personal Income at Current Market Prices","2016","CP011 - Food","Euro Million","7395"
"Consumption of Personal Income at Current Market Prices","2016","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4741"
"Consumption of Personal Income at Current Market Prices","2016","CP031 - Clothing","Euro Million","2854"
"Consumption of Personal Income at Current Market Prices","2016","CP06 - Health","Euro Million","4513"
"Consumption of Personal Income at Current Market Prices","2016","CP07 - Transport","Euro Million","11570"
"Consumption of Personal Income at Current Market Prices","2016","CP073 - Transport services","Euro Million","2833"
"Consumption of Personal Income at Current Market Prices","2016","CP10 - Education","Euro Million","1584"
"Consumption of Personal Income at Current Market Prices","2017","CP011 - Food","Euro Million","7702"
"Consumption of Personal Income at Current Market Prices","2017","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4812"
"Consumption of Personal Income at Current Market Prices","2017","CP031 - Clothing","Euro Million","2929"
"Consumption of Personal Income at Current Market Prices","2017","CP06 - Health","Euro Million","4646"
"Consumption of Personal Income at Current Market Prices","2017","CP07 - Transport","Euro Million","11633"
"Consumption of Personal Income at Current Market Prices","2017","CP073 - Transport services","Euro Million","2959"
"Consumption of Personal Income at Current Market Prices","2017","CP10 - Education","Euro Million","1578"
"Consumption of Personal Income at Current Market Prices","2018","CP011 - Food","Euro Million","7959"
"Consumption of Personal Income at Current Market Prices","2018","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","4696"
"Consumption of Personal Income at Current Market Prices","2018","CP031 - Clothing","Euro Million","3188"
"Consumption of Personal Income at Current Market Prices","2018","CP06 - Health","Euro Million","4818"
"Consumption of Personal Income at Current Market Prices","2018","CP07 - Transport","Euro Million","12101"
"Consumption of Personal Income at Current Market Prices","2018","CP073 - Transport services","Euro Million","3190"
"Consumption of Personal Income at Current Market Prices","2018","CP10 - Education","Euro Million","1598"
"Consumption of Personal Income at Current Market Prices","2019","CP011 - Food","Euro Million","8378"
"Consumption of Personal Income at Current Market Prices","2019","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","5191"
"Consumption of Personal Income at Current Market Prices","2019","CP031 - Clothing","Euro Million","3314"
"Consumption of Personal Income at Current Market Prices","2019","CP06 - Health","Euro Million","5088"
"Consumption of Personal Income at Current Market Prices","2019","CP07 - Transport","Euro Million","12443"
"Consumption of Personal Income at Current Market Prices","2019","CP073 - Transport services","Euro Million","3257"
"Consumption of Personal Income at Current Market Prices","2019","CP10 - Education","Euro Million","1693"
"Consumption of Personal Income at Current Market Prices","2020","CP011 - Food","Euro Million","8703"
"Consumption of Personal Income at Current Market Prices","2020","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","5810"
"Consumption of Personal Income at Current Market Prices","2020","CP031 - Clothing","Euro Million","2911"
"Consumption of Personal Income at Current Market Prices","2020","CP06 - Health","Euro Million","4693"
"Consumption of Personal Income at Current Market Prices","2020","CP07 - Transport","Euro Million","9627"
"Consumption of Personal Income at Current Market Prices","2020","CP073 - Transport services","Euro Million","1685"
"Consumption of Personal Income at Current Market Prices","2020","CP10 - Education","Euro Million","1687"
"Consumption of Personal Income at Current Market Prices","2021","CP011 - Food","Euro Million","9015"
"Consumption of Personal Income at Current Market Prices","2021","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","5939"
"Consumption of Personal Income at Current Market Prices","2021","CP031 - Clothing","Euro Million","4010"
"Consumption of Personal Income at Current Market Prices","2021","CP06 - Health","Euro Million","5424"
"Consumption of Personal Income at Current Market Prices","2021","CP07 - Transport","Euro Million","9736"
"Consumption of Personal Income at Current Market Prices","2021","CP073 - Transport services","Euro Million","1482"
"Consumption of Personal Income at Current Market Prices","2021","CP10 - Education","Euro Million","1747"
"Consumption of Personal Income at Current Market Prices","2022","CP011 - Food","Euro Million","9535"
"Consumption of Personal Income at Current Market Prices","2022","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","5592"
"Consumption of Personal Income at Current Market Prices","2022","CP031 - Clothing","Euro Million","4355"
"Consumption of Personal Income at Current Market Prices","2022","CP06 - Health","Euro Million","5811"
"Consumption of Personal Income at Current Market Prices","2022","CP07 - Transport","Euro Million","12392"
"Consumption of Personal Income at Current Market Prices","2022","CP073 - Transport services","Euro Million","2404"
"Consumption of Personal Income at Current Market Prices","2022","CP10 - Education","Euro Million","1816"
"Consumption of Personal Income at Current Market Prices","2023","CP011 - Food","Euro Million","10405"
"Consumption of Personal Income at Current Market Prices","2023","CP02 - Alcoholic beverages, tobacco and narcotics","Euro Million","5421"
"Consumption of Personal Income at Current Market Prices","2023","CP031 - Clothing","Euro Million","4193"
"Consumption of Personal Income at Current Market Prices","2023","CP06 - Health","Euro Million","6226"
"Consumption of Personal Income at Current Market Prices","2023","CP07 - Transport","Euro Million","13121"
"Consumption of Personal Income at Current Market Prices","2023","CP073 - Transport services","Euro Million","2943"
"Consumption of Personal Income at Current Market Prices","2023","CP10 - Education","Euro Million","1843"
